"year","source","paper_id","discipline","title_data","type","author1_data"
"            1996","          SEG ","          1996-1259 ","geophysics","Seismic Principal Components Analysis Using Neural Networks","          Conference Paper","Huang, Kou-Yuan, National Chiao Tung University, Hsinchu, Taiwan"
"            1992","          SEG ","          1992-0788 ","geophysics","Inversion of Seismic Waveforms Using Neural Networks","          Conference Paper","Ro&uml;th, Gunter, Institut de Physique du Globe, France"
"            1993","          SEG ","          1993-0250 ","geophysics","Seismic Attribute Calibration Using Neural Networks","          Conference Paper","Johnston, David H., Exxon Production Research Co."
"            2001","          SEG ","          2001-1544 ","geophysics","Seismic Facies Mapping By Competitive Neural Networks","          Conference Paper","Saggaf, M.M., Saudi Aramco"
"            2013","          ISOPE ","          I-13-304 ","surface","System Identification of an Autonomous Surface Vehicle Using Neural Networks","          Conference Paper","Woo, Joohyun, Seoul National University"
"            2001","          SEG ","          2001-0316 ","geophysics","Artificial Neural Network Solutions to AVO Inversion Problems","          Conference Paper","Mogensen, Shane, Phillips Petroleum Company"
"            2013","          SPE ","          167640-STU ","reservoir","Permeability Prediction Using Hybrid Neural Network Modelling","          Conference Paper","Maslennikova, Yulia, Kazan Federal University"
"            2001","          SEG ","          2001-0666 ","logging","Using Neural Networks to Predict Lithology From Well Logs","          Conference Paper","Ford, David A., Diamond Geoscience Research Corp."
"            1992","          SPE ","          24454-MS ","geophysics","Inversion of a Lateral Log Using Neural Networks","          Conference Paper","Garcia, Gerardo, Walt Whitman Software Inc."
"            2010","          SEG ","          2010-1473 ","geophysics","Neural Network Regression Analysis And Post-stack Inversion- A Comparison","          Conference Paper","Misra, Somanath, Arcis Corporation"
"            2003","          SPE ","          85650-MS ","reservoir","Prediction of the PVT Data using Neural Network Computing Theory","          Conference Paper","Goda, Hussam M., Curtin University of Technology"
"            2017","          ISOPE ","          I-17-545 ","drilling","Penetration and Quality Control With Artificial Neural Network Welding System","          Conference Paper","Penttilä, Sakari, Lappeenranta University of Technology"
"            1994","          SPE ","          27561-MS ","other","Neural Networks: A New Tool for the Petroleum Industry?","          Conference Paper","Ali, J.K., British Gas PLC"
"            2008","          PETSOC ","          2008-190 ","reservoir","Analysis of Waterflooding Through Application of Neural Networks","          Conference Paper","Nakutnyy, P., University of Regina"
"            2006","          SEG ","          2006-2285 ","geophysics","Neural Network For Parameters Determination And Seismic Pattern Detection","          Conference Paper","Huang, Kou-Yuan, National Chiao Tung University"
"            2016","          SPE ","          184371-MS ","drilling","Artificial Neural Network Model for Predicting Wellbore Instability","          Conference Paper","Okpo, E. E., University of Port Harcourt"
"            2001","          SPE ","          67260-MS ","production","Neural Network Approach Predicts U.S. Natural Gas Production","          Conference Paper","Al-Fattah, S.M., Saudi Aramco"
"            2004","          SEG ","          2004-1198 ","geology","Predictive Ore Deposit Targeting Using Neural Network Analysis","          Conference Paper","Reford, Stephen, Paterson, Grant & Watson Limited"
"            1997","          ISOPE ","          I-97-426 ","drilling","Substructural Identification of Offshore Structures  Using Neural Networks","          Conference Paper","Yun, Orang-Bang, Korea Advanced Institute of Science and Technology"
"            2001","          SPE ","          68593-MS ","production","Predicting Natural Gas Production Using Artificial Neural Network","          Conference Paper","Al-Fattah, S.M., Saudi Aramco"
"            2002","          WPC ","          32174 ","reservoir","ARTIFICIAL NEURAL NETWORK USE ON SIMULATION OF GEOLOGICAL PROCESSES","          Conference Paper","Neta, R. do A., COPPE/UFRJt"
"            2002","          SEG ","          2002-0609 ","geophysics","Principal Component Neural Network For Seismic Pattern Analysis","          Conference Paper","Huang, Kou Yuan, National Chiao Tung University"
"            2004","          SEG ","          2004-2216 ","geophysics","Matching Time-lapse Seismic Data Using Neural Networks","          Conference Paper","Al-Ismaili, I., Imperial College, University of London, UK"
"            1999","          ISRM ","          9CONGRESS-1999-106 ","petrophysics","A Neural Network Method For Engineering Rock Mass Classification","          Conference Paper","Liu, Ying, Beijing Institute of Nuclear Engineering"
"            1996","          ARMA ","          96-1567 ","drilling","Determination of Rock Properties By Accelerated Neural Network","          Conference Paper","Yang, Hyung-Sik, Chonnam National University"
"            2014","          IPTC ","          17475-MS ","logging","Application of Artificial Neural Networks for Well Logs","          Conference Paper","Kohli, A., University of Petroleum and Energy Studies"
"            2007","          SPE ","          110959-MS ","reservoir","Neural Network Identification of Hydrocarbon Potential of Shaly Sand Reservoirs","          Conference Paper","Elshafei, Moustafa, King Fahd University of Petroleum & Minerals"
"            2005","          SEG ","          2005-0775 ","geophysics","A Neural Networks Based Seismic Object Detection Technique","          Conference Paper","Aminzadeh, Fred, dGB-USA, One Sugar Creek Center Blvd., Suite 935, Sugar Land, TX, 77478"
"            2000","          SEG ","          2000-1426 ","geophysics","Petro-seismic Classification Using Neural Networks: UK Onshore","          Conference Paper","Fogg, Anthony N., Hampson-Russell Software Services Ltd (UK)"
"            2003","          ISOPE ","          I-03-030 ","drilling","Model Experiments On Dynamic Positioning System Using Neural Network Controller","          Conference Paper","Nakamura, Masahiko, Kyushu University"
"            2014","          SPE ","          171274-RU ","drilling","Artificial Neural Networks in Drilling Troubles Prediction (Russian)","          Conference Paper","Lind, Yuliya B., BashNIPIneft LTD"
"            2007","          SPWLA ","          MERS-2007-W ","reservoir","Predicting Water Saturation Using Artificial Neural Networks (ANNs)","          Conference Paper","Al-Bulushi, N., Imperial College London"
"            1999","          NACE ","          99238 ","digital|wireless|AVO|pattern|Quantization","Neural Network Methods for the Prediction of Pitting Potentials","          Conference Paper","Cottis, Robert, UMIST"
"            2016","          SPE ","          180439-MS ","logging","Pseudo Density Log Generation Using Artificial Neural Network","          Conference Paper","Long, Wennan, University of Southern California"
"            2000","          SPE ","          58722-MS ","drilling","Application of Neural Networks for Improved Gravel-Pack Design","          Conference Paper","Faga, A.T., Shell UK Exploration and Production"
"            2001","          SPE ","          69500-MS ","surface","Artificial Neural Networks Applied to the Operation of VGO Hydrotreaters","          Conference Paper","Lopez, R., PDVSA Intevep"
"            2001","          SPE ","          69624-MS ","drilling","Neural Networks Models for Estimation of Fluid Properties","          Conference Paper","Alcocer, Yuri,"
"            2005","          ISRM ","          EUROCK-2005-115 ","other","A Neural Network Method to Evaluate Consolidation Coefficients","          Conference Paper","Yongxing, Zhang, Chongqing University"
"            2008","          PETSOC ","          2008-122 ","drilling","Improved Carbonate Reservoir Facies Classification Using Artificial Neural Network Method","          Conference Paper","Tang, H., Louisiana State University"
"            1999","          ISOPE ","          I-99-370 ","drilling","Application of Neural Network to Control Penetration In Arc Welding","          Conference Paper","Suga, Y., Keio University"
"            2000","          SPE ","          59308-MS ","reservoir","IOR Evaluation and Applicability Screening Using Artificial Neural Networks","          Conference Paper","Surguchev, Leonid, PETEC Software & Services AS"
"            2011","          ISOPE ","          I-11-565 ","digital|wireless|AVO|pattern|Quantization","Prediction of Parametric Roll Resonance By Multilayer Perceptron Neural Network","          Conference Paper","González, M. Míguez, Integrated Group for Engineering Research, University of A Coruña"
"            2011","          SEG ","          2011-1623 ","digital|wireless|AVO|pattern|Quantization","Artificial Neural Network Based Autopicker For Micro-earthquake Data","          Conference Paper","Aminzadeh, Fred, University of Southern California"
"            2000","          SPE ","          60305-MS ","petrophysics","Effects of Diagenesis on Neural-Network Grain-Size Prediction","          Conference Paper","Faga, A.T., Shell UK Exploration and Production"
"            2001","          SPE ","          68233-MS ","drilling","Prediction of Oil PVT Properties Using Neural Networks","          Conference Paper","Osman, E.A., King Fahd University of Petroleum and Minerals"
"            2008","          SEG ","          2008-2912 ","other","Identification of Unexploded Ordnance From Clutter Using Neural Networks","          Conference Paper","Szidarovszky, Anna, Zonge Engineering and Research Organization"
"            2015","          SPE ","          172610-MS ","production","Gas Lift Optimization using Artificial Neural Network","          Conference Paper","Ranjan, A., Indian School of MInes, Dhanbad, India"
"            2007","          SEG ","          2007-1785 ","geophysics","Application of Neural Networks to Travel-times Computation","          Conference Paper","Kononov, Alexey, Delft University of Technology"
"            2006","          SPE ","          98378-MS ","drilling","Stuck Pipe Prediction and Avoidance: A Convolutional Neural Network Approach","          Conference Paper","Siruvuri, C., Halliburton Digital and Consulting Solutions"
"            2013","          IPTC ","          16952-MS ","reservoir","Application of Probabilistic Neural Network on Complex Carbonate Reservoir Prediction","          Conference Paper","Sun, Xuekai, China U. of Petroleum Beijing"
"            1998","          SPE ","          39963-MS ","production","Refork Completion Analysis with the Aid of Artificial Neural Networks","          Conference Paper","Shelley, Robert F., Halliburton Energy Services Inc."
"            2013","          SPE ","          163691-MS ","reservoir","Performing Reservoir Simulation with Neural Network Enhanced Data","          Conference Paper","Isaiah, Joshua, Packers Plus"
"            2010","          ISRM ","          EUROCK-2010-055 ","petrophysics","Analysis of Crack Coalescence In Rock Bridges Using Neural Network","          Conference Paper","Ghazvinian, A., Tarbiat Modares University"
"            1999","          SPE ","          56433-MS ","reservoir","Applications of Neural Networks in Multiwell Field Development","          Conference Paper","Centilmen, A., The Pennsylvania State University"
"            2002","          SPE ","          74498-MS ","logging","Optimization of Spacer Rheology Using Neural Network Technology","          Conference Paper","Theron, B.E., Schlumberger Oilfield Services"
"            2003","          SPE ","          83586-MS ","reservoir","Prediction of Flow Units and Permeability Using Artificial Neural Networks","          Conference Paper","Aminian, K., West Virginia University"
"            2001","          SPE ","          69405-MS ","production","Artificial-Lift Systems Pattern Recognition Using Neural Networks","          Conference Paper","Ocanto, Leonardo, PDVSA"
"            2015","          SEG ","          2015-5908157 ","other","Predicting Reliability of AVA Effects Using Neural Networks","          Conference Paper","Hami-Eddine, Kamal, Paradigm"
"            2010","          ISOPE ","          I-10-519 ","geophysics","Application of Artificial Neural Networks to Wave Nowcasting","          Conference Paper","Bruschi, Roberto, Saipem Energy Services"
"            2007","          SPE ","          106628-MS ","flow assur","Neural Networks Can Enhance Fuzzy Corrosion Modeling","          Conference Paper","Hajizadeh, Yasin, Islamic Azad U-Omidiye"
"            2000","          SPE ","          65463-MS ","stimulation","Using Neural Networks for Prediction of Formation Fracture Gradient","          Conference Paper","Sadiq, T., Kuwait University"
"            1996","          SPE ","          31100-MS ","reservoir","Assessment of Formation Damage Using Artificial Neural Networks","          Conference Paper","Kalam, M.Z., Sultan Qaboos University"
"            2007","          SPE ","          113027-STU ","flow assur","Neural Networks Can Enhance Fuzzy Corrosion Modeling","          Conference Paper","Hajizadeh, Yasin,"
"            2005","          SPE ","          94357-MS ","reservoir","Treating Uncertainties in Reservoir Performance Prediction with Neural Networks","          Conference Paper","Lechner, Johann Peter, OMV A.G."
"            1999","          PETSOC ","          99-91 ","reservoir","An Artificial Neural Network Based Relative Permeability Predictor","          Conference Paper","Giller, B., Pennsylvannia State University"
"            2014","          SPE ","          171919-MS ","drilling","Pipeline Internal Damage Prediction by Deterministic Models and Neural Networks","          Conference Paper","Gabetta, Giovanna, Eni E&P"
"            2016","          ISOPE ","          I-16-539 ","digital|wireless|AVO|pattern|Quantization","Modeling Flocculation Processes Using Artificial Neural Networks","          Conference Paper","Sahin, Cihan, Yildiz Technical University"
"            2003","          SPE ","          81469-MS ","drilling","Neural Network Prediction Model of Miscible Displacements in Heterogeneous Reservoirs","          Conference Paper","Gharbi, Ridha B.C., Kuwait University"
"            2007","          IPTC ","          11268-MS ","reservoir","Application of Artificial Neural Networks to Downhole Fluid Analysis","          Conference Paper","Hegeman, Peter S., Schlumberger"
"            1996","          SEG ","          1996-1662 ","drilling","Improving the Reliability of First-break Picking With Neural Networks","          Conference Paper","Hart, Douglas I., Western Geophysical"
"            1990","          SEG ","          1990-0321 ","geophysics","Seismic Trace Editing And First Break Picking Using Neural Networks","          Conference Paper","McCormack, M.D., Arco Oil and Gas Co."
"            1990","          SEG ","          1990-0591 ","geophysics","Inversion of Gravity Gradiometry Data Using a Neural Network","          Conference Paper","Taylor, C.L., Air Force Systems Cornmand"
"            1994","          SEG ","          1994-0189 ","drilling","Stochastic Imaging of Reservoir Properties Using Probabilistic Neural Networks","          Conference Paper","Thadani, Suresh G., Stochastic Systems International"
"            1994","          SEG ","          1994-0185 ","geophysics","A Neural Network Approach to Automate Velocity Picking","          Conference Paper","Fish, Barry C., Advance Geophysical Corporation"
"            1992","          SEG ","          1992-0006 ","surface","Lineaments Analysis For Potential- Fields Data Using Neural Networks","          Conference Paper","Fossati, Massimo, Univ. of Milan"
"            1991","          SEG ","          1991-0295 ","geophysics","Hybrid Neural Network For Seismic Pattern Recognition","          Conference Paper","Yang, H.Z., National Chiao Tung Univ"
"            1993","          SEG ","          1993-1395 ","geophysics","Resistivity-log Inversion Using a Heterogeneous Artificial Neural Network","          Conference Paper","Vallas, H.A. Jr., Western Atlas International"
"            1991","          SEG ","          1991-0507 ","geophysics","Preprocessing GPR Signatures For Cascading Neural Network Classification","          Conference Paper","Poulton, Mary M., Univ. of Arizona"
"            1990","          SEG ","          1990-0313 ","geophysics","Self-organizing Neural Network For Picking Seismic Horizons","          Conference Paper","Huang, Kou-Yuan, National Chiao Tung University, Taiwan"
"            1997","          SEG ","          1997-0562 ","geophysics","Hopfield Neural Network For Seismic Horizon Picking","          Conference Paper","Huang, Kou-Yuan, National Chiao Tung University"
"            1995","          SEG ","          1995-0138 ","reservoir","Early-stage Reservoir Analysis With SOMA: A Neural Network Approach","          Conference Paper","Zhang, Xuegong, Tsinghua University"
"            2001","          SEG ","          2001-0257 ","other","Interactive AVO Time-Alignment And Neural Network Classification","          Conference Paper","Eastwood, John, ExxonMobil Upstream Research Company"
"            2013","          NACE ","          2013-2035 ","surface","Tank Coating Damage Assessment Using an Artificial Neural Network Model","          Conference Paper","Friedersdorf, Fritz J., Luna Innovations Incorporated"
"            1998","          SPE ","          49026-MS ","drilling","Stochastic Reservoir Simulation Using Neural Networks Trained on Outcrop Data","          Conference Paper","Caers, Jef, Stanford University"
"            1992","          SEG ","          1992-0014 ","logging","Predicting Lithology From V, And V, Using Neural Networks","          Conference Paper","Lorenzetti, Elizabeth A., Texaco Inc."
"            1993","          SEG ","          1993-0246 ","geophysics","Neural Networks For Robust Recognition of Seismic Reflection Patterns","          Conference Paper","Wang, Jar-Long, National Chiao Tung University, Taiwan"
"            1999","          SPE ","          52959-MS ","drilling","Artificial Neural Network Enhanced Completions Improve Well Economics","          Conference Paper","Shelley, Robert F., Halliburton Energy Services Inc."
"            1999","          SPE ","          54348-MS ","reservoir","Short Term Gas Demand Forecasting Based on Artificial Neural Network","          Conference Paper","Sato, Ritsuo, NKK Corporation"
"            1989","          SEG ","          1989-0208 ","other","Recognizing EM Ellipticity Patterns With Neural Networks","          Conference Paper","Poulton, Mary M., University of Arizona"
"            1991","          SEG ","          1991-0302 ","geophysics","Use of Neural Networks For Inversion of Seismic Data","          Conference Paper","Roethe, Guntery, Seismology Lab, Institut de Physique du Globe de Paris (WC)"
"            1992","          SEG ","          1992-0026 ","geophysics","Neocognitron of a Neural Network For Seismic Pattern Recognition","          Conference Paper","Huang, Kou&hyphen;Yuan, National Chiao Tung Univ., Taiwan"
"            2000","          SEG ","          2000-2452 ","logging","Application of Artificial Neural Networks (ANNs) to Sub-basalt Imaging.","          Conference Paper","FitzGerald, E.M., University College Dublin, Ireland"
"            1989","          SEG ","          1989-0716 ","geophysics","Neural Network Method For Tracing Seismic Events","          Conference Paper","Liu, Xuewei, Tsinghua University"
"            2000","          SEG ","          2000-0741 ","geophysics","Neural Networks For Seismic Wavelet Extraction And Clustering","          Conference Paper","Huang, Kou Yuan, National Chiao Tung University"
"            2006","          SEG ","          2006-2122 ","geophysics","Rock Parameter Inversion Using Well And Depth Domain Seismic Data By SRM Neural Networks","          Conference Paper","Xiangjun, Zhang, CNPC Daqing Petroleum, Daqing ,China."
"            2001","          SEG ","          2001-0642 ","logging","Resolution Analysis In Well Log Estimation By Using Neural Networks: Eastern Venezuela","          Conference Paper","Arandia, Marisela Sánchez, Universidad Simón Bolívar"
"            2006","          SEG ","          2006-1752 ","drilling","Integrating Neural Networks And Fuzzy Logic For Improved Reservoir Property Prediction And Prospect Ranking","          Conference Paper","Aminzadeh, Fred, dGB-USA, One Sugar Creek Center Blvd."
"            1999","          ISOPE ","          I-99-209 ","surface","Estimation of Transmission Line Icing At Different Sites Using a Neural Network","          Conference Paper","McComber, P., École de Technologie Supérieure"
"            2006","          ISOPE ","          I-06-294 ","reservoir","Simulation of Stress-Strain Behavior of Fine Sand Using Artificial Neural Network","          Conference Paper","Shun-Chieh, Hsieh, Department of Land Management and Development, Chang Jung Christian University"
"            1993","          SPE ","          26430-MS ","drilling","Determining Reservoir Properties in Reservoir Studies Using a Fuzzy Neural Network","          Conference Paper","Zhou, Cheng Dang, Jianghan Petroleum Inst."
"            2002","          SEG ","          2002-1654 ","geophysics","A Genetic Algorithm/neural Network Approach to Seismic Attribute Selection For Well Log Prediction","          Conference Paper","Dorrington, Kevin P., Montana Tech of the U. of Montana"
"            1993","          ARMA ","          93-0741 ","petrophysics","Comprehensive Classification Iof Rock Stability, Blastability And Drillability Based On Neural Networks","          Conference Paper","Wang, Li-na, Shenyang Institute of Gold Technology"
"            2003","          ISOPE ","          I-03-401 ","other","Reliability Based Design of Breakwater Armor Layers Using Neural Network","          Conference Paper","Kim, Dong-Hyawn, Coastal & Harbor Engineering Laboratory, Korea Ocean Research & Development Institute"
"            1993","          SPE ","          26427-MS ","reservoir","A Robust Neural Network Model for Pattern Recognition of Pressure Transient Test Data","          Conference Paper","Ershaghi, Iraj, University of Southern California"
"            2008","          SPE ","          112124-MS ","drilling","Neural-Network based Sensitivity Analysis for Injector-Producer Relationship Identification","          Conference Paper","Demiryurek, Ugur,"
"            2014","          ISOPE ","          I-14-198 ","drilling","Statistical Consideration of Holocene Clay Properties Estimated by Artificial Neural Network in Kobe Airport","          Conference Paper","Oda, Kazuhiro, Osaka University"
"            2006","          OTC ","          18119-MS ","geophysics","Prediction of Sediment Undrained Shear Strength From Geophysical Logs Using Neural Networks","          Conference Paper","Paulson, M., U. of Rhode Island"
"            2014","          ISOPE ","          I-14-306 ","digital|wireless|AVO|pattern|Quantization","Artificial Neural Network Apply to Predict the Sea-Level Change by using Satellite Data","          Conference Paper","Lee, T.L., Nan Jeon University of Science and Technology"
"            2013","          ISOPE ","          I-13-489 ","digital|wireless|AVO|pattern|Quantization","The Sea-Level Predictions Around Taiwan in 2030 Using Artificial Neural Network","          Conference Paper","Lee, T.L., Nan Jeon Institute of Technology"
"            1999","          SPE ","          53738-MS ","production","Predicting Temperature Profiles in Producing Oil Wells Using Artificial Neural Networks","          Conference Paper","Farshad, F., University of Southwestern Louisiana"
"            2010","          ISRM ","          ISRS-2010-045 ","other","Analysis of In-situ Stress Field By Using a Visual BP Neural Network","          Conference Paper","Yongsong, Li, Yangtze River Scientific Research Institute"
"            2010","          SPE ","          132010-MS ","drilling","Sophisticated ROP Prediction Technology Based on Neural Network Delivers Accurate ResultsSophisticated ROP Prediction Technology Based on Neural Network Delivers Accurate Results","          Conference Paper","Moran, David P., Smith"
"            2015","          SPE ","          175826-MS ","logging","Prediction of True Resistivity and Resistivity index using Neural Networks with Different Combinations of Wireline Logs","          Conference Paper","Sbiga, H., Libyan Petroleum Institute"
"            2015","          SPE ","          176143-MS ","stimulation","A Novel Approach To Predict Interaction Between Hydraulic Fracture and Natural Fracture Using Artificial Neural Networks","          Conference Paper","Chen, P., Zakum Development Company (ZADCO)"
"            2003","          SPWLA ","          2003-WW ","logging","Neural Networks For The Modeling Of Electrical And Induction Logs","          Conference Paper","Anguiano-Rojas, Pedro, Instituto Mexicano del Petroleo"
"            2001","          SPE ","          68801-MS ","production","Neural-Network Approach To Predict Well Performance Using Available Field Data","          Conference Paper","He, Zhong, Texas A & M University"
"            1995","          SPE ","          30556-MS ","reservoir","Automatic Parameter Estimation From Well Test Data Using Artificial Neural Network","          Conference Paper","Athichanagorn, Suwat, Stanford University"
"            2005","          PETSOC ","          2005-106 ","reservoir","Predicting Well Inflow Performance in Solution Gas Drive Reservoir by Neural Network","          Conference Paper","PAlrumah, M., College Of Technological Studies"
"            1995","          SPWLA ","          1995-FF ","reservoir","Application Of A Multilayer Neural Network And Statistical Techniques In Formation Characterisation","          Conference Paper","Gonçalves, C.A., NPGP/Federal University of Path"
"            2010","          ISOPE ","          I-10-129 ","drilling","Corrosion Protection Status Survey of Submarine Pipelines Based On Bayesian Regulated Neural Networks","          Conference Paper","Lan, Jie, Department of Naval Architecture, Dalian University of Technology"
"            2012","          ISOPE ","          I-12-250 ","drilling","Applicability of Artificial Neural Network to Spatial Interpolation of Soil Properties In Kansai International Airport","          Conference Paper","Oda, Kazuhiro, Department of Civil Engineering, Graduate School of Engineering, Osaka University"
"            1994","          SPE ","          28598-MS ","reservoir","Application of Neural Networks in the Prediction of Reservoir Hydrocarbon Mixture Composition From Production Data","          Conference Paper","Briones, M.F., Corpoven S.A."
"            1994","          SPE ","          28394-MS ","reservoir","A Methodological Approach for Reservoir Heterogeneity Characterization Using Artificial Neural Networks","          Conference Paper","Mohaghegh, Shahab, West Virginia U."
"            2016","          OTC ","          26527-MS ","drilling","Neural Network Based Adaptive Control for a Thruster Assisted Mooring Vessel in Mooring Line Failure","          Conference Paper","Kwon, H., Seoul National University"
"            2014","          SPE ","          170406-MS ","logging","Oil Spill Detection and Characterization from Satellite Image Using Artificial Neural Network Algorithm","          Conference Paper","Ridha, Syahrir, Universiti Teknologi PETRONAS"
"            2006","          SPE ","          100989-MS ","reservoir","A New Neural Network Approach to Reservoir Permeability Estimation from Well Logs","          Conference Paper","Lim, Jong-Se, Korea Maritime U."
"            2006","          SPE ","          103217-MS ","drilling","Hybrid Simulation Using Neural Networks To Predict Drilling Hydraulics in Real Time","          Conference Paper","Fruhwirth, Rudolf Konrad, Neuro Genetic Systems"
"            2015","          SPE ","          172599-MS ","geology","Distribution of New Horizontal Wells by the Use of Artificial Neural Network Algorithm","          Conference Paper","Ali, Diyar H., Baker Hughes Company"
"            2008","          WPC ","          19-0686 ","reservoir","Neural Networks And Their Applications In Lithostratigraphic Interpretation of Seismic Data For Reservoir Characterization","          Conference Paper","Singh, Virendra, Repsol YPF"
"            2003","          SPE ","          84445-MS ","reservoir","Obtain an Optimum Artificial Neural Network Model for Reservoir Studies","          Conference Paper","Du, Yuqi, ChevronTexaco Company"
"            1998","          SPE ","          39965-MS ","stimulation","Practical use of Neural networks in Tight Gas Fractured Reservoirs: Application to the San Juan Basin","          Conference Paper","Ouenes, A., Terra Nova"
"            2013","          SPE ","          167586-MS ","reservoir","Bubble Point Pressure Prediction Model for Niger Delta Crude using Artificial Neural Network Approach","          Conference Paper","Numbere, O.G., University of Port Harcourt"
"            1997","          WPC ","          29253 ","surface","[11]4 Neural Networks in Catalyst Design: An Art Turning into a Science","          Conference Paper","Hattori, T., Department of Applied Chemistry, Graduate School of Engineering, Nagoya University, Japan"
"            1997","          SPE ","          38099-MS ","drilling","Universal Neural Network Based Model for Estimating The PVT Properties of Crude Oil Systems","          Conference Paper","Gharbi, Ridha B., Kuwait University"
"            2001","          SEG ","          2001-0591 ","other","Classification of Salt-contaminated Velocities With Self-organizing Map Neural Network","          Conference Paper","Zhang, Lin, Chevron Petroleum Technology Co. (CPTC)"
"            2010","          SEG ","          2010-2906 ","reservoir","Probabilistic Neural Network Inversion For Characterization of Coalbed Methane","          Conference Paper","Yenugu, Malleswar, ConocoPhillips School of Geology and Geophysics, The University of Oklahoma"
"            1996","          SPE ","          35721-MS ","stimulation","Neural Networks for Field-Wise Waterflood Management in Low Permeability, Fractured Oil Reservoirs","          Conference Paper","Nikravesh, M., Lawrence Berkeley National Laboratory"
"            2011","          SPE ","          150365-MS ","reservoir","Predicting Lower Fars Heavy Oil Molar Compositions Using Artificial Neural Networks","          Conference Paper","Al-Sirri, Dalal, Kuwiat Oil Company"
"            2003","          SPWLA ","          2003-Q ","drilling","Subsurface Properties Determination From Nuclear Well-Logging Data Using Neural Networks","          Conference Paper","Aristodemou, E., Imperial College London"
