"","title_data"
"78","Characterizing the Effects of Lean Zones and Shale Distribution in SAGD Recovery Performance"
"79","Characterization of Heterogeneity Using Inverse Model Equipped with Parallel Genetic Algorithm"
"80","Short Term Gas Demand Forecasting"
"81","Effect of Backfill on Stope Stability"
"82","Understanding the Distribution Pattern of Prospective Reservoir Facies: A Sequence Stratigraphic Approach for Integrated Characterization of The Tarapur Field; Cambay Basin, India"
"83","A new Automatic Tracking System for Seismic Reflected Events Based on Kalman Filter"
"84","Automated Reservoir Surveillance through Data Mining Software"
"85","Integration of Static and Dynamic Data to Investigate Interwell Communication: The Case of Module II of Espadarte Field, Campos Basin, Brazil"
"86","A New Hybrid Inverse Modeling Method for Water Quality Monitoring Using Remotely Sensed Data"
"87","Missing Wind Speed Data: Clustering Techniques for Completion and Computational Intelligence Models for Forecasting"
"88","Development of a New Correlation for Bubble Point Pressure in Oil Reservoirs using Artificial IntelligenceTechnique"
"89","Optimization of Well Placement in a Gulf of Mexico Waterflooding Project"
"90","Challenges in Using Operational Data for Reliable Wind Turbine Condition Monitoring"
"91","An Investigation on the Impact of Heterogeneity on Fluid Injectivity Loss during Water-Alternating-Gas Injection in Carbonate Formations"
"92","Reducing Uncertainty in Characterization Of Vaca Mureta Shale with Post-Stack Seismic Data"
"93","Using Chromatographic Fingerprint Technique to Monitor Individual Zone Production in ASP Flooding"
"94","Artificial Geo-Hydrological Zonation"
"95","Facies Analysis and Permeability Estimation In Late Cretaceous Giant Carbonate Reservoir Using LWD Technology, A Case Study in Sabriyah Field, North Kuwait"
"96","Discussion On the Error of Wave Forecast By Markov Chain Theory"
"97","Production Performance Monitoring Workflow"
"98","Characterization of A Heterogeneous Reservoir in West Virginia"
"99","Completion Evaluation of the Eagle Ford Formation With Heterogeneous Proppant Placement"
"100","Process-Oriented Modeling As A New Tool For Thin Layered Reservoir Characterization And Permeability Curve Estimation"
"101","An Efficient and Practical Workflow for Probabilistic Forecasting of Brown Fields Constrained by Historical Data"
"102","Multidisciplinary and Integrated Methodology for Deepwater Thin Bed Reservoirs Characterization"
"103","Tuning the Analytical Model for better Prediction of Recovery Factor"
"104","The Greeley 3-D Seismic Survey: One of the Nation's Largest Urban Surveys Leads to Niobrara and Codell Horizontal Activity"
"105","Pore Pressure Prediction Using High Resolution Velocity And Acoustic Impedance In a Complex Field"
"106","Petrophysical Properties of Unconventional Low-Mobility Reservoirs (Shale Gas and Heavy Oil) by Using Newly Developed Adaptive Testing Approach"
"107","A Novel Automated and Probabilistic EOR Screening Method to Integrate Theoretical Screening Criteria and Real Field EOR Practices Using Machine Learning Algorithms"
"108","Optimization, Sensitivity and Robustness Analysis – Applications and Trends in Geomechanics"
"109","Analysis Of Peak Particle Velocity At Underground Mine Roof Originated From An Adjacent Surface Mine"
"110","3D Generalised Inversion (AVO, AI) as Direct Input to The Reservoir Model. Deepwater Exploration Offshore North West Borneo, Malaysia - A Case Study"
"111","Comparison of Methods for Stochastic Multiphase Flow Rate Estimation"
"112","Prediction of Oil and Gas Reservoir Properties using Support Vector Machines"
"113","Experimental Design Methodology for Reserves Quantifications Based on Soft Computing Modelling Methods"
"114","Harnessing the Power of Type-2 Fuzzy Logic System in the Prediction of Reservoir Properties"
"115","Development of Universal Proxy Models for Screening and Optimization of Cyclic Pressure Pulsing in Naturally Fractured Reservoirs"
"116","Artificial Intelligence for Heavy Oil Assets: The Evolution of Solutions and Organization Capability"
"117","The Iterative Use Of Clustering And Modeling To Improve Permeability Prediction"
"118","A Novel Terminal Sliding Mode Control for the Navigation of An Under-actuated UUV"
"119","Automatic Extraction And Characterisation Of Geological Features And Textures Front Borehole Images And Core Photographs"
"120","Shale Discrimination with Machine Learning Methods"
"121","Petrophysical Evaluation of Shale Gas Reservoir: A Case Study from Cambay Basin, India"
"122","3D Reservoir Simulation of X Field Onshore Niger Delta Nigeria: The Power of Multiple Iterations"
"123","Automated, ""By Exception"" Well Surveillance: A Key to Maximizing Oil Production"
"124","Real-time Geology/Petrophysics in Complex Carbonate Reservoirs"
"125","Comparing the Effects of Pipe Diameter on Flow Capacity of a CO2 Pipeline"
"126","A Model For Predicting Corrosion Rates In Oil Wells Containing Carbon Dioxide"
"127","Source Rock Stimulation: Does This Require More Art or Science?"
"128","Predictive Emission Monitoring Systems: Innovation in Measurement Technology"
"129","SS: Simulation Optimization of Wells with Complex Architecture"
"130","Rapid Assessment of 3D Seismic and Its Economic Impact"
"131","A Practical Artificial Intelligence Application in Well Test Interpretation"
"132","Production Optimization Strategy Using Hybrid Genetic Algorithm"
"133","Nonstationary Prediction of Wind and Waves in the Pacific Ocean using Fuzzy Inference Systems"
"134","Real-Time Drilling Parameter Optimization System Increases ROP by Predicting/Managing Bit Wear"
"135","Predicting Life of Galvanised Steel on Internet"
"136","Automated History Matching Using Combination of Adaptive Neuro Fuzzy System (ANFIS) and Differential Evolution Algorithm"
"137","Durability Evaluation of Marine And Offshore Structures"
"138","An Expert System Approach to Real-Time Diagnosis of Drill Bit Condition and Preventing Its Damage"
"139","High-Speed & High-Efficient Development of an Extra-shallow Sea Oilfield"
"140","Optimization of Surface Network and Platform Location using a Next Generation Reservoir Simulator Coupled with an Integrated Asset Optimizer - An Application to an Offshore Deep Water Oil Field in Bra…"
"141","Conditioning Reservoir Models To Dynamic Data - A Forward Modeling Perspective"
"142","Data Driven Approaches to Designing Large Open Pit Slopes – Lessons from Engineering Geology"
"143","Forecasting US Natural Gas Production into year 2020: a comparative study."
"144","Practical Strategies for Evaluation and Modelling of Naturally Fractured Reservoirs"
"145","Application Of Kriging As A Geostatistical Method And Anns To Permeability Analysis At Ag-Chaie Dam, Iran"
"146","Predicting Waterflood Responses With Decision Trees"
"147","Surrogate Modeling-Based Optimization of SAGD Processes"
"148","Reservoir Facies Modeling Using Intelligent Data Gathering in an Iranian Carbonate Field"
"149","Core Data Preprocessing To Improve Permeability Log Estimation"
"150","Artifact In 3D Pore-microstructure From X-ray Tomogram And Its Impacts On Physical Property Simulations"
"151","An Integrated Approach to Delineate Reservoir Facies through Multi Attribute Analysis in Complex Lithological Environment"
"152","An Effective Coupling of Type Curves and Expert Systems for Evaluating Multi-stage Hydraulically Fractured Horizontal Wells in Composite Dual-porosity Shale Gas Reservoirs"
"153","A Comprehensive Approach to Sweet-Spot Mapping for Hydraulic Fracturing and CO2 Huff-n-Puff Injection in Chattanooga Shale Formation"
"154","Enhancement of Information Sharing and Exchange in the Refining Industry Through Concurrent Engineering and Computer Integrated Process Engineering Environment 1"
"155","Physics-Based and Data-Driven Surrogates for Production Forecasting"
"156","Reservoir Characterization Through Synthetic Logs"
"157","Fracture Optimization eXpert (FOX) - How Computational Intelligence Helps the Bottom-Line in Gas Storage; A Case Study"
"158","Tracking Permeability In A Major Limestone Reservoir: From Rock Observation To 3D Modelling"
"159","A Relationship Between the Fractal Dimension and Scaling Groups of Unstable Miscible Displacements"
"160","Oilfield Data Mining Workflows for Robust Reservoir Characterization: Part 2"
"161","Incorporation of Spatial Characters into Volcanic Facies and Favorable Reservoir Prediction"
"162","Efficient Global Optimization For Hydraulic Fracturing Treatment Design"
"163","Selection of Hydraulic Fracturing Candidates in Iranian Carbonate Oil Fields: A Local Computerised Screening of Zone and Well Data"
"164","Thin-bed Reflectivity Inversion And Seismic Interpretation"
"165","New Method for Rock Classification in Carbonate Formations Using Well-Log-Based Rock Fabric Quantification"
"166","Application And Method Based On Artificial Intelligence For Selection Of Structures And Screening Of Technologies For Enhanced Oil Recovery"
"167","Predict Injection Profile of an Injector Using a Soft Computing Method"
"168","Prediction of Porosity and Permeability of Oil and Gas Reservoirs using Hybrid Computational Intelligence Models"
"169","A Multivariate Autoregressive Model for Characterizing Producer-producer Relationships in Waterfloods from Injection/Production Rate Fluctuations"
"170","Combining Condition Monitoring and Predictive Modeling to Improve Equipment Uptime on Drilling Rigs"
"171","A Novel Automated and Probabilistic EOR Screening Method to Integrate Theoretical Screening Criteria and Real Field EOR Practices Using Machine Learning Algorithms (Russian)"
"172","Prestack Classification Applied to Siliciclastic and Carbonate Deepwater Reservoirs"
"173","Multiple-Point Geostatistical Lithofacies Simulation of Fluvial Sand-Rich De-Positional Environment: A Case Study from Zubair Formation/South Rumaila Oil Field"
"174","Unified Team Approach: Leveraging Real-Time Capabilities Reduces NPT While Enhancing HSE Effectiveness"
"175","The Hydrocarbon Systems of the Vienna Basin and Their Characterization"
"176","Calibration of Permeability Vertical Profile with Regard to Well Production Data (Russian)"
"177","Calibration of vertical permeability profile using well data"
"178","Case Study of 3D Seismic Inversion and Rock Property Attribute Evaluation of the Haynesville Shale"
"179","Applied Geostatistical Reservoir Characterization in R: Review and Implementation of Rock Facies Classification and Prediction Algorithms-Part I"
"180","Prediction of the Mechanical Compressive Behavior of Granite using Intelligent Tools"
"181","Attribute Assisted Seismic Facies Classification on a Turbidite System in Canterbury Basin, Offshore New Zealand"
"182","Adopting Simple & Advanced Genetic Algorithms as Optimization Tools for Increasing Oil Recovery & NPV in an Iraq Oil Field"
"183","Decision Support System for Economic Analysis of E&P Projects under Uncertainties"
"184","Essential Components of an Integrated Data Mining Tool for the Oil & Gas Industry, With an Example Application in the DJ Basin"
"185","Sensitivity Study of Flow Unit Definition by Use of Reservoir Simulation"
"186","Depositional Environment & Sequence Stratigraphy of Eocene Reservoirs, Assam Shelf, India: A Multi Well Log Study"
"187","Cooperative Optimization-Based Dimensionality Reduction for Advanced Data Mining and Visualization"
"188","Inversion of Multi-Phase Petrophysical Properties Using Pumpout Sampling Data Acquired With a Wireline Formation Tester"
"189","Automated Process Control System for Steam-Injection Processes"
"190","Stochastic Modeling Technique for Heterogeneous Multi-layer Sandstone Reservoir"
"191","Computing Gas-in-Place in a Complex Volcanic Reservoir in China"
"192","Impact of Borehole Washout on Acoustic Logs and Well-to-Seismic Ties"
"193","Multicomponent Case Study - Continued Multicomponent Experience In Eastern Alberta"
"194","Multiphase Flow Pattern Recognition in Horizontal and Upward Gas-Liquid Flow Using Support Vector Machine Models"
"195","Quantifying Rock Mass Behavior Around Underground Excavations"
"196","Estimation of Rock Dynamic Elastic Property Profiles through a Combination of Soft Computing, Acoustic Velocity Modeling, and Laboratory Dynamic Test on Core Samples"
"197","Integrated Approach to Reservoir Fairway Prediction: Late Jurassic Hanifa Formation In Eastern Province, Kingdom of Saudi Arabia."
"198","A Comparison Study on Experimental Design and Response Surface Methodologies"
"199","The Use Of Seismic Attributes And Spectral Decomposition To Support The Drilling Plan Of The Uracoa-Bombal Fields"
"200","The Study of Hydraulic Fracturing Expert System in Low Permeable and Complex Reservoirs"
"201","A Data Mining Approach to Unlock Potential from an Old Heavy Oil Field"
"202","Analysis of Best Hydraulic Fracturing Practices in the Golden Trend Fields of Oklahoma"
"203","Integrated Modeling of a Field of Wells - An Evaluation of Western Shallow Oil Zone Completion Practices in the Elk Hills Field, Kern County, California"
"204","Analysis of Oil Volume Fluxes of Hydrocarbon Seep Formations on the Green Canyon and Mississippi Canyon: A Study Using 3D Seismic Attributes in Combination With Satellite and Acoustic Data"
"205","Assessing the Capabilities of a Cased-hole Reservoir Analysis System in the Gulf of Thailand"
"206","Integrated Geology, Geophysics and Petrophysics Data to Describe Lateral and Vertical Reservoir Heterogeneity to Optimize Field Development Plan Limau Field, South Sumatra Basin, Indonesia"
"207","The Importance of Fluid Chemistry in High-Temperature Hydraulic Fracture Stimulation"
"208","Alternate Representations in Numerical Modeling of Multistage Hydraulically Fractured Horizontal Wells in Shale Gas Reservoirs"
"209","Design and Implementation of a Computer-Based Tool for Risk and Impact Assessment of the Environmental Pollution in the Niger Delta Using Simulation Method"
"210","An Investigation of Three-Phase Counter-Current Flow Using X-Ray Computerized Tomography and Neuro-Simulation Modeling"
"211","Global Optimization of Data Quality Checks On 2-D And 3-D Networks of GPR Cross-well Tomographic Data For Automatic Correction of Unknown Well Deviations"
"212","Uncertainties and Challenges of Modern Well Test Interpretation"
"213","An Intelligent System To Detect Drilling Problems Through Drilled-Cuttings-Return Analysis"
"214","Gas-Lift Optimization Using Proxy Functions in Reservoir Simulation"
"215","Development of Predictive Emission Monitoring System Algorithms for Qatargas Turbine"
"216","Integration of Artificial Intelligence and Lean Sigma for Large Field Production Optimization: Application to Kern River Field"
"217","Forecasting Incident Rates through Artificial Intelligence"
"218","Self-Organizing Maps with Cokriging Porosity Applied to Sand-Shale Reservoirs using Seismic"
"219","Calculation of Fluid Saturations From Log-Derived J-Functions in Giant Complex Middle-East Carbonate Reservoir"
"220","Rock Property Prediction Using Multiple Seismic and Geologic Attributes Provides Insight to Field Development for a Large UAE Field"
"221","A Novel Technique for Optimizing hydrate Inhibitor Injection Rate"
"222","INTEGRATED GEOLOGICAL AND GEOPHYSICAL STUDIES TO REDUCE EXPLORATION RISK IN HETEROGENEOUS SANDSTONE RESERVOIR"
"223","Mechanical Earth Model Calibration for Sanding Potential Estimation: A Case Study from the Tombua-Landana Development in Angola's Deepwater Block 14"
"224","A Field-Proven Methodology for Real-Time Drill Bit Condition Assessment and Drilling Performance Optimization"
"225","A Predictive Model For Uniaxial Compressive Strength of Carbonate Rocks From Schmidt Hardness"
"226","Monitoring and Optimizing Oil Fields by a Real-Time Production Operation (RTPO) System"
"227","Integrated Full-Field Review of the Betty Field for Building Predictive Models To Reduce Uncertainty in Reserves and Identifying Future Potential"
"228","Fractured Basement Characterization from Multi-Attributes Guided Integrated Continuous Fracture Modeling"
"229","Enhanced dynamic simulation through continuous fracture modelling of Carbonate Reservoir, Oman"
"230","Monitoring of Oil Sand Slurries By On-line NIR Spectroscopy"
"231","Automatic Downhole Card Generation And Classification"
"232","Reservoir Characterization - Integrated Interpretation of Borehole Data and Surface Seismic Data"
"233","SS: Testing in the offshore: Preprocessing of Offshore Platform Integrated Marine Monitoring System Data: What to Do With Unusual Values or Trends?"
"234","Simulated Annealing For Hierarchical Seismic Pattern Detection"
"235","Bishop's Simplified Method And Particle Swarm Optimization Forlocation The Critical Failure Surface In Rock Slope Stability analysis"
"236","Reservoir Characterization and Flow Simulation of a Low-Permeability Gas Reservoir: An Integrated Approach for Modeling Tommy Lakes Gas Field"
"237","Estimation of Reservoir Properties by Monte Carlo Simulation"
"238","Ensemble Machine Learning: The Latest Development in Computational Intelligence for Petroleum Reservoir Characterization"
"239","Hydraulic Flow Units Resolve Reservoir Description Challenges in a Siberian Oil Field"
"240","Application of Case-Based Reasoning for Well Fracturing Planning and Execution"
"241","Research And Application of Seismic Facies Analysis Based On the Empirical Mode Decomposition"
"242","The Combination of Wavelet Transform And Nonlinear Filtering For Time-lapse Seismic Difference Analysis"
"243","Seismic Attributes Adding a New Dimension to Prospect Evaluation & Geomorphology Identification In the Malay And Adjacent Basins"
"244","Seismic Attribute Analysis Based On Information Entropy For Carbonate Reservoir Characterization"
"245","Simulation of Nuclear Magnetic Resonance (NMR) Log Using Conventional Well Logs and Fuzzy Logic"
"246","Parameter Maps for the Assessment of Corrosion Type from Electrochemical Noise Data"
"247","Restoration of fissured cavernous porosity based on standard logging package data"
"248","Post And Pre-stack Seismic Reflection Data Processing of 3D Reflection Seismic Surveys Over a CO2 Injection"
"249","Seismic Attribute Analysis Based On Multi-attributes Fractal Dimension"
"250","Application of Seismic Methods For Interface Detection In the Akal Block Jurassic Section, Cantarell Field, Mexico."
"251","Special Sessions on Petrotechnical Visualization A Point of (3D) View on Visualization"
"252","Advanced Optimization Methodology in the Oil and Gas Industry: The Theory of Scatter Search Techniques with Simple Examples"
"253","Where is the Gap? Is it in More Reservoir Engineers or in Leveraging New Skills and Workflows that Enhances Individual Productivity?"
"254","Successful Application of the Key Well Concept to Enhance Formation Evaluation"
"255","Numerical Simulation of the Stress Field in Wushaoling Tunnel"
"256","Integrated Well Log Electrofacies and Seismic Facies Modeling for Stratigraphic Trap Identification in Carbonate Reservoirs, North Oman"
"257","Quality Assurance Tool for PVT Simulator Predictions"
"258","Optimized Workflow for Designing Complex Wells"
"259","Field Application of Multi-Dimensional Diagnosis of Reservoir Rock Stability Against Sanding Problem"
"260","Improvement of Permeability Prediction for Carbonate Reservoirs Using Well Log Data"
"261","Evaluation of Groundwater Leakage into a Dam Foundation Drainage Tunnel"
"262","Is Bati Raman Heavy Oil Field a Triple Porosity System?"
"263","Rock Engineering: New Progress In Computer Science As A Way To Deal With Empiricism"
"264","Design of Objective Functions for Optimization of Process of Additional Oil Recovery"
"265","Development of New Gas Viscosity Correlations"
"266","Perforator Performance Study Determines Optimum System and Achieves Field Performance Projections"
"267","Complete Geomechanical Property Log From Drilling Data in Unconventional Horizontal Wells"
"268","Wind-speed Prediction Based on Grey Fuzzy Mean Generating Function Model"
"269","Evaluation of Multifractures Through Unconventional Log Using Gamma Functions, Facies, LSSA, and Migration of Fracture in Laminated Sandstone of Chicontepec"
"270","Emulation: A Bayesian Tool For Joint Inversion"
"271","Pattern Recognition Based Remaining Useful Life Estimation of Bottom Hole Assembly Tools"
"272","Amplitude Envelope And Fault Zone Reflection Phenomenon"
"273","Recent Advances in Granular-Based Sand Control Design Operations and Their Performance Evaluation"
"274","Joint Estimation of Porosity And Saturation By Combining a Rock Physics Model And Constrained Pre-stack Seismic Waveform Inversion"
"275","Bearing Wear Model for Roller Cone Bits"
"276","A Field-Proven Methodology for Real-Time Drill Bit Condition Assessment and Drilling Performance Optimization (Russian)"
"277","Detect Data Quality Problems In Large Data Sets By Mining Approximate Dependencies"
"278","Fundamental Issues in the Application of Electrochemical Impedance Spectroscopy"
"279","Removing the Effect of Reservoir Fluids on Porosity Estimated from Seismic Data. A Study on Aboozar Oilfield, North-West Persian Gulf."
"280","Principles and Issues in Structural Health Monitoring Using Corrosion Sensors"
"281","Modeling World Oil Supply: Its Peak Production Rate and Time - Model Validation"
"282","An Improvised Method for Determining Reservoir Rock Porosity Cut-off with Support of Laboratory Mercury Injection Data"
"283","Liquids Pipeline Nominations Processing And Batch Scheduling"
"284","Case Study: Integrated 3D Geomodeling of Minagish Oolite Formation, Umm Gudair Field, Kuwait"
"285","A Composite Determination of Mechanical Rock Properties for Stimulation Design (What to Do When You Don't Have a Sonic Log)"
"286","A System for Real-Time Drilling Performance Optimization and Automation Based on Statistical Learning Methods"
"287","Application of Fuzzy Expert Systems for EOR Project Risk Analysis"
"288","Improving Gas Storage Development Planning Through Simulation-Optimization"
"289","Innovative Approach to Assist History Matching Using Artificial Intelligence"
"290","A Model to Correlate Permeability With Efficient Porosity and Irreducible Water Saturation"
"291","Short-term Production Optimization by Automated Adaptive Modeling and Control"
"292","Efficient Assessment and Optimization of A Deepwater Asset Using Fixed Pattern Approach"
"293","Production Surveillance And Optimization With Data Driven Models"
"294","Corrosion Simulation for the Process Industry"
"295","Reservoir Rock Typing in a Carbonate Reservoir—Cooperation of Core and Log Data: Case Study"
"296","Optimal Gridding: A Fast Proxy for Large Reservoir Simulations"
"297","Aggregating Petroleum Reservoir Interwell Connectivities Using the Generalized Chouqet Integral"
"298","Probabilistic History Matching With the Capacitance-Resistance Model in Waterfloods: A Precursor to Numerical Modeling"
"299","Obtaining Real-Time Flow Rate, Water Cut, and Reservoir Diagnostics from ESP Gauge Data"
"300","Estimation of Interwell Connectivity in the Case of Fluctuating Bottomhole Pressures"
"301","A Rule Induction Algorithm for Application to Petrophysical, Seismic, Geological and Reservoir Data"
"302","Automatic Determination of Well Placement Subject to Geostatistical and Economic Constraints"
"303","Log Examples with a Prototype Three-Detector Pulsed-Neutron System for Measurement of Cased-Hole Neutron and Density Porosities"
"304","Reservoir Characterization Using Intelligent Seismic Inversion"
"305","History Matching: Is it Necessary to Optimize?"
"306","Improved Permeability Equation From the Bundle-of-Leaky-Capillary-Tubes Model"
"307","MIC and Biofilm Heterogeneity"
"308","State-Of-The-Art in Permeability Determination From Well Log Data: Part 2-Verifiable, Accurate Permeability Predictions, the Touch-Stone of All Models"
"309","The Perfect Permeability Transform Using Logs and Cores"
"310","Inferring Interwell Connectivity From Well-Rate Fluctuations in Waterfloods"
"311","Intelligent Fields Management at Woodside: A Low-Cost Step Improvement in Field Management Using Off the Shelf Technology"
"312","The Use of Genetic Algorithms as an Optimization Tool for Predicting Permeability Alteration in Formation Damage and Improvement Modelling"
"313","Closing the Gap Between Reservoir Modeling and Production Optimization"
"314","The Use of Genetic Algorithms in Well Placement Optimization"
"315","Uncertainty Evaluation in Field Development and Export Planning"
"316","Integrating 3D Seismic into the Reservoir Model, and Its Impact on Reservoir Management"
"317","Optimal Tunneling Method Selection Using Fuzzy Multiple Attribute Decision Making Technique"
"318","Development of an Intelligent Distributed Management System for Automated Wells (SGPA)"
"319","Preprocessing Requirements for the Analysis of Electrochemical Noise Data in the Time Domain"
"320","Integrated Field Study for Production Optimization: Jonah Field - Sublette County, Wyoming"
"321","Real-time, On-line and On-board: The Use of Computers, Enabling Corrosion Monitoring to Optimize Process Control"
"322","Splines as an Optimization Tool in Petroleum Engineering"
"323","Retrieving Vuggy-Fractured Porosity from Standard Well Log Data (Russian)"
