"","title_data"
"153","Neural Networks And Their Applications In Lithostratigraphic Interpretation of Seismic Data For Reservoir Characterization"
"154","Obtain an Optimum Artificial Neural Network Model for Reservoir Studies"
"155","Practical use of Neural networks in Tight Gas Fractured Reservoirs: Application to the San Juan Basin"
"156","Bubble Point Pressure Prediction Model for Niger Delta Crude using Artificial Neural Network Approach"
"157","[11]4 Neural Networks in Catalyst Design: An Art Turning into a Science"
"158","Universal Neural Network Based Model for Estimating The PVT Properties of Crude Oil Systems"
"159","Classification of Salt-contaminated Velocities With Self-organizing Map Neural Network"
"160","Probabilistic Neural Network Inversion For Characterization of Coalbed Methane"
"161","Neural Networks for Field-Wise Waterflood Management in Low Permeability, Fractured Oil Reservoirs"
"162","Predicting Lower Fars Heavy Oil Molar Compositions Using Artificial Neural Networks"
"163","Subsurface Properties Determination From Nuclear Well-Logging Data Using Neural Networks"
"164","Prediction of Frictional Drag and Transmission of Slack-off Force in Horizontal Wells Using Neural Networks"
"165","Neural Network Application in the Optimization of Soft Rock Supporting"
"166","Prediction of Formation Damage During Fluid Injection into Fractured, Low Permeability Reservoirs via Neural Networks"
"167","Reservoir Porosity and Permeability Estimation from Well Logs using Fuzzy Logic and Neural Networks"
"168","Stable Nonlinear Predictive Operator Based on Neural Network, Genetic Algorithm and Controlled Gradient Method"
"169","Automatic Reservoir Model Identification using Artificial Neural Networks in Pressure Transient Analysis"
"170","On The Investigation Of A Multilayer Feedforward Neural Network Model Of Rock Deformability Behaviour"
"171","Dynamic Control of ROVs Making Use of the Neural Network Concept"
"172","Based on Improved BP Neural Network Study on Meso-Mechanical Properties of Limestone"
"173","A Neural Network Approach for Modeling Water Distribution System"
"174","Direct Identification of Hydrocarbon From Well Logs: A Neural Network Interpretation Approach"
"175","Employing Neural Networks to Integrate Seismic and Other Data for the Prediction of Fracture Intensity"
"176","Fuzzy neural network for chain pillar design in longwall coal mining"
"177","Determination Of The Failure Mode In Rock Bridge Using Neural Network Tools"
"178","Determination of Horizontal Permeability Through a Probability Neural Network Approach"
"179","Gas Oil Color (ASTM) Inference with Neural Network in an Oil Refinery Distillation Column"
"180","Characterization of Partially Sealing Faults from Pressure Transient Data: An Artificial Neural Network Approach"
"181","An Iterative Inversion Of Seismic Data Constrained By Wells Using Artificial Neural Networks"
"182","Stability Evaluation For Excavated Slope Using Finite Element-Neural Network Hybrid Algorithms"
"183","A New Approach to Calculate Stress Concentration Factors: Artificial Neural Networks"
"184","Prediction Of Stress-Strain Response Of Jointed Rocks Using Artificial Neural Networks"
"185","Identifying unconventional potential using seismic inversion and neural networks: An Eagle Ford Shale study"
"186","Artificial Neural Networks Applied To The Operation Of A Fluid Catalytic Cracking (FCC) Unit"
"187","A New Approach to Reservoir Characterization Using Deep Learning Neural Networks"
"188","Permeability Prediction Using Genetic Unit Averages of Flow Zone Indicators (FZIs) and Neural Networks"
"189","Integrating Digital Image Processing and Artificial Neural Network for Estimating Porosity from Thin Section"
"190","Development of HT- BP Neural Network System for the Identification of Well Test Interpretation Model"
"191","Back Analysis of Rock Parameters Based on Neural Network and FLAC"
"192","Application of Neural Network for Two-Phase Flow through Chokes"
"193","Neural Network Knowledge-Based Modeling of Rock Properties Based on Well Log Databases"
"194","Elastic And Acoustic Inversions, Discriminant Function And Neural Networks For Gas-sand Detection"
"195","Time-lapse Seismic Attribute Interpretation of a Turbidite Analog Reservoir Model Using Neural Networks"
"196","Porosity From Artificial Neural Network Inversion For Bermejo Field, Ecuador"
"197","Neural Network Approach to the Problem of Recovering Lost Data In a Network of Marine Buoys"
"198","Neural Networks in BHCP Prediction Performed Much Better Than Mechanistic Models"
"199","Well Log Estimates And Confidence Intervals By Using Artificial Neural Networks"
"200","Neural Network-Based Formation Parameters Estimation From Well Logs in Quantitative Log Analysis: A Comparative Study"
"201","Real Time Inversion of Array Resistivity Logging Data Using Dimensional Reduction And Neural Network Simulation"
"202","Designing Work Breakdown Structure (WBS) In Tunneling Projects Using Neural Networks"
"203","Detection of Marine Oil Spills from SAR Images Using Artificial Neural Networks"
"204","Automatic Fracture Network Model Update Using Smart Well Data and Artificial Neural Networks"
"205","Neural Network Based Performance Model of a Compact Axial Flow Cyclonic Separator"
"206","Predicting Formation Fracture Gradient In Oil And Gas Wells: A Neural Network Approach"
"207","A Combined Thermography - Neural Network For the Prediction of Eroded Caves Behind Seawall"
"208","Using Neural Networks In Determining Random Wave-Induced Hydrodynamic Inline Force On a Cylindrical Pile"
"209","Uncertainty Assessment in Production Forecast with an Optimal Artificial Neural Network"
"210","An Artificial Neural Network Utility for the Optimization of History Matching Process"
"211","Examination for Predicting Ground Settlement Based on Measurement Records by Using a Neural Network Model"
"212","Application of Artificial Neural Network In Short-Term Storm Surge Forecasting"
"213","Using Artificial Neural Networks to Predict Shear Modulus of Granular Offshore Sediments"
"214","Development and Testing of an Expert System for Coalbed Methane Reservoirs Using Artificial Neural Networks"
"215","Improving the Simulation of Waterflood Performance With the Use of Neural Networks"
"216","Recognizing Electrochemical Noise Patterns From Mild Steel Corrosion in Oil-Water Mixtures Using Neural Networks"
"217","Validating Hydraulic Fracturing Properties in Reservoir Simulation Using Artificial Neural Networks"
"218","Direct Identification of Hydrocarbon From Well Logs: A Neural Network Interpretation Approach"
"219","Artificial Neural Networks For Simultaneous Multi Horizon Tracking Across Discontinuities"
"220","Seismic Wavelet Estimation Constrained By Well Data Using Artificial Neural Networks"
"221","Using Neural Networks In Rock Engineering Systems For Cavern Performance Auditing"
"222","Prediction of Short-term Natural Gas Prices Using Econometric and Neural Network Models"
"223","A Non-Radioactive Flow Meter Using a New Hierarchical Neural Network"
"224","An Artificial Neural Network Model for Estimating Tight Gas Sand Permeability"
"225","Estimation of Proper Strain Rate In the CRSC Test Using a Artificial Neural Networks"
"226","Integrated Leak Detection in Gas Pipelines Using OLGA Simulator and Artificial Neural Networks"
"227","Artificial Neural Networks Models for Predicting PVT Properties of Oil Field Brines"
"228","Integration of Lithology Uncertainties in Net Volume Prediction Using Democratic Neural Network Association"
"229","Interactive Seismic Facies Classification of Stack And AVO Data Using Textural Attributes And Neural Networks"
"230","A neural network- Expert system hybrid approach for tunnel design"
"231","A Neural Network Approach For Predicting the Penetration Depth During Laser Perforation In Limestone"
"232","Underwater SLAM With ICP Localization And Neural Network Objects Classification"
"233","Advanced BHA-ROP Modeling Including Neural Network Analysis of Drilling Performance Data"
"234","Borehole-to-surface Electrical Data Interpretation At Takigami Geothermal Field In Kyushu, Japan Using Neural Network"
"235","Neural Network Training-Data Selection Using Memory-Reduced Cluster Analysis for Field Model Development"
"236","Artificial Neural Network Integrated With Expert System For Preliminary Design Of Tunnels And Slopes"
"237","A Neural Network Model for Prediction of Liquid Holdup in Two-Phase Horizontal Flow"
"238","Neural Network Model for Estimating The PVT Properties of Middle East Crude Oils"
"239","Prediction of Permeability Reduction by External Particle Invasion Using Artificial Neural Networks and Fuzzy Models"
"240","Neural Network Estimation of Rockburst Damage Severity Based on Engineering Cases"
"241","Petrophysical Properties Determination of Tight Gas Sands From NMR Data Using Artificial Neural Network"
"242","4-D Cross-equalization And Offset Equalization Using a Neural Networks Approach"
"243","A Comparison of Standard Inversion, Neural Networks And Support Vector Machines"
"244","Self-Generation of Controller of an Underwater Robot With Neural Network"
"245","Coiled Tubing Working Life Prediction Based on BP Algorithm of Artificial Neural Network"
"246","Application of Neural Network Workflow to Facies Modeling in Turbidite Reservoirs, Offshore Nigeria"
"247","Estimation of Reservoir Properties From Seismic Data By Regularized Neural Networks"
"248","A Combined Bottom-hole Pressure Calculation Procedure Using Multiphase Correlations and Artificial Neural Network Models"
"249","Prediction of Reservoir Architecture and Porosity Distribution Using Multiple Seismic Attributes and Neural Networks"
"250","Backstepping-Based Adaptive Control for Dynamic Positioning Using Orthogonal Neural Network"
"251","Sensitivity Analysis Of The Effective Parameters During Laser Perforation In Sandstone: A Neural Network Approach"
"252","Prediction of the Corrosion Rate of Steel in Seawater Using Neural Network Methods"
"253","Prediction of the Hydrocarbon Saturation in Low Resistivity Formation via Artificial Neural Network"
"254","Ultimate Compressive Strength Prediction of Stiffened Panels By Counterpropagation Neural Networks (CPN)"
"255","Improved Fractured Reservoir Characterization Using Neural Networks, Geomechanics and 3-D Seismic"
"256","An Artificial Neural Network Approach to Formation Damage Prediction due to Asphaltene Deposition"
"257","Lithofacies Sequence Recognition From Well Logs Using Time-Delay Neural Networks"
"258","Prediction of P-Wave Sonic Logs Via Neural Network and Seismic Trace Inversion: A Comparison"
"259","Using Artificial Neural Networks to Develop New PVT Correlations for Saudi Crude Oils"
"260","Artificial Neural Network Drilling Parameter Optimization System Improves ROP by Predicting/Managing Bit Wear"
"261","Evaluation Of Below Bubble Point Viscosity Correlations & Construction of a New Neural Network Model"
"262","Time-to-Depth Conversion of Nash Draw ""L"" Seismic Horizon using Seismic Attributes and Neural Networks"
"263","Correlating Natural Production, Price, Import and Export in a Neural Network Framework"
"264","Artificial Neural Networks for Corrosion Rate Prediction in Gas Pipelines"
"265","Artificial Neural Networks for Corrosion Rate Prediction in Gas Pipelines"
"266","Statistical inversion of variable salt velocity by neural network classification in the central Gulf of Mexico"
"267","MONITORING AND DETECTION OF LEAKS IN A PIPELINE USING ARTIFICIAL NEURAL NETWORKS"
"268","Sea-Level Records Analysis With Improved Empirical Mode Decomposition (EMD) and Artificial Neural Networks (ANN)"
"269","A Comparison of Artificial Neural Network and Multiple Regression Analysis in TBM Performance Prediction"
"270","Facies Prediction From Core And Log Data Using Artificial Neural Network Technology"
"271","An Artificial Neural Network Approach To Identify the Well Test Interpretation Model: Applications"
"272","On the Use of Artificial Neural Networks As Generic Descriptors of Geomaterial Mechanical Behaviour"
"273","Using Neural Networks For Flow Pattern And Frictional Loss Estimation For Aerated Drilling Fluids"
"274","Predicting Oil and Gas Spot Prices Using Chaos Time Series Analysis and Fuzzy Neural Network Model."
"275","Granite Wash Completion Optimization with the Aid of Artificial Neural Networks"
"276","Neural Network and Rock Physics for Predicting and Modeling Attenuation Logs"
"277","Flow Pattern and Frictional-Pressure-Loss Estimation Using Neural Networks for UBD Operations"
"278","The Artificial Neural Network Method of Well-Test Interpretation Model Identification and Parameter Estimation"
"279","Artificial Neural Network - A Tool For Optimising Mining Parameters"
"280","Generating Synthetic Well Logs by Artificial Neural Networks (ANN) Using MISO-ARMAX Model in Cupiagua Field."
"281","Predicting Penetration Rate Of A Tunnel Boring Machine Using Artificial Neural Network"
"282","Real Time Continuous Reservoir Strength Prediction from Grain Size Distribution Information Using Neural Network"
"283","Training And Generalization of Experimental Values Of Ice Scour Event By A Neural-Network"
"284","Recognition of Liquefaction Cases Using Neural Network And Their Sensitivity Analysis"
"285","Reservoir Characterization Using Fuzzy Kriging and Deep Learning Neural Networks"
"286","Permeability Prediction Using Artificial Neural Network (ANN): A Case Study of Uinta Basin"
"287","Using Multi-Neural Network to Estimate the Screening Effect of Surface Waves By In-Filled Trenches"
"288","Risk Analysis With History Matching Using Experimental Design or Artificial Neural Networks"
"289","The Application of ANN Artificial Neural Network to Pipeline TOLC Metal Loss Database"
"290","Artificial Neural Network Application In Short-Term Prediction In an Oscillating Water Column"
"291","Neural Network Ensemble Selection Using Multiobjective Genetic Algorithm In Processing Pulsed Neutron Data"
"292","Artificial Neural Network- Based Feedback Analysis of the Caverns Excavation of Underground Hydropower Plants"
"293","Extracting Physical Properties from Thin Section : Another Neural Network Contribution in Rock Physics"
"294","Neural Networks Analysis for Estimating Rock Cuttability from Rock Properties"
"295","An ROP Predictive Model in Nile Delta Area Using Artificial Neural Networks"
"296","Development of Artificial Neural Networks to Predict Differential Pipe Sticking in Iranian Offshore Oil Fields"
"297","Neural Network Prediction of Porosity and Permeability of Heterogeneous Gas Sand Reservoirs"
"298","Estimation of Wave Breaking In Gravel Beach Using Artificial Neural Network"
"299","Application of Neural Network to the Determination of Well-Test Interpretation Model for Horizontal Wells"
"300","Neural Network Analysis Identifies Production Enhancement Opportunities in the Kaybob Field"
"301","Intelligent Prediction of Wellbore Stability In Oil And Gas Wells: An Artificial Neural Network Approach"
"302","A Model For Deepwater Floating Platforms Selection Based On BP Artificial Neural Networks"
"303","A Neural Network for Predicting Corrosion of Grade N80 Downhole Tubulars Exposed to Stimulation Fluids"
"304","Prediction of Standard Penetration Tests Via Microtremor Array Using Artificial Neural Networks"
"305","A New Screening Tool for Improved Oil Recovery Methods Using Artificial Neural Networks"
"306","Determination the Rheological Properties of Invert Emulsion Based Mud on Real Time Using Artificial Neural Network"
"307","Implementing Artificial Neural Networks and Support Vector Machines in Stuck Pipe Prediction"
"308","Artificial Neural Network (ANN) Based Model for Predicting of Overall Strength of Volcanic Bimrock"
"309","Achieving Production Optimization Using Progressive Cavity Pumps, Artificial Neural Networks, and System-Based Monitoring"
"310","Evaluation of Polymer Flooding Potential Based on Orthogonal Design and BP Artificial Neural Network"
"311","Identification of Geo-hazards Using Multi-Attribute Displays and a Supervised Neural Network"
"312","A Neural Network Approach to Predict Formation Damage Due to Calcium Sulphate Precipitation"
"313","Neural Network Inversion Of Array Induction Logging Data For Dipping Beds"
"314","Practical Data Mining and Artificial Neural Network Modeling for SAGD Production Analysis"
"315","Complexities of Using Neural Network in Well Test Analysis of Faulted Reservoirs"
"316","Modelling Shear Behavior of Rough Joints Using Neural Networks"
"317","Forecasting Well Performance in a Discontinuous Tight Oil Reservoir Using Artificial Neural Networks"
"318","Application of Neural Networks for Predictive Control in Drilling Dynamics"
"319","Study on Application of Artificial Neural Networks to Solver of Three-dimensional Tsunami Numerical Model"
"320","Predicting the Quality and Performance of Oilfield Cements Using Artificial Neural Networks and FTIR Spectroscopy"
"321","Refining AVO Interpretation for Reservoir Characterization with Neural Networks"
"322","Time-Dependent Neural Network Based Proxy Modeling of SAGD Process"
"323","Neural Network For Dispersion Strengthened Microalloyed Steel Sour Corrosion From Electrochemical Impedance Spectroscopy Laboratory Measurements"
"324","An Artificial Neural Network Model To Predict The Performance Of Hard Rock TBM"
"325","How Routine Reservoir Surveillance with Neural Networks and Simplified Reservoir Models can Convert Data into Information"
"326","Development and Testing of Two-Phase Relative Permeability Predictors Using Artificial Neural Networks"
"327","Artificial Neural Networks for Identification of Beam Pump Dynamometer Load Cards"
"328","An Artificial Neural Network Model for Predicting Bottomhole Flowing Pressure in Vertical Multiphase Flow"
"329","A Neural Network Approach For Real-Time Evaluation Of Sandstone Reservoir Strength"
"330","Application of Neural Network Model for Prediction of Asphaltene Precipitation"
"331","Permeability Modeling Using Neural Network Approach for Complex Mauddud-Burgan Carbonate Reservoir"
"332","Microzonation Study For Area With Liquefaction Potential Using Artificial Neural Networks"
"333","Combining Absorption and AVO Seismic Attributes Using Neural Networks to High-Grade Gas Prospects"
"334","3D Acoustic Impedance And Porosity Mapping From Seismic Inversion And Neural Networks"
"335","Prediction of Crude Oil Viscosity and Gas/Oil Ratio Curves Using Recent Advances to Neural Networks"
"336","Feasibility of Using Artificial Neural Networks with E.I.S. Data From Coated Steel"
"337","Applications Of Artificial Neural Networks For Demand Predictions Of A Pipeline System"
"338","Infill Drilling Recovery Models for Carbonate Reservoirs - A Multiple Statistical, Non-Parametric Regression, and Neural Network Approach"
"339","View of Neural Network Training As Constrained Optimization And Applications to Rock Porosity Prediction"
"340","The Artificial Neural Network For Research of the Recovery Ratio of Oil Fields"
"341","Modeling Petrophysical Property Variations in Reservoir Sand Bodies Using Artificial Neural Network and Object Based Techniques"
"342","Electromagnetic Data Evaluation Using a Neural Network: Initial Investigation — Underground Storage Tanks"
"343","Neural Network Approach to Seismic Crew Noise Identification In Marine Surveys"
"344","Neural Network of Fuzzy K-nearest Neighbor Classification Rule For Seismic First-arrival Picking"
"345","Predicting Production Using a Neural Network (Artificial Intelligence Beats Human Intelligence)"
"346","A Simulated Annealing Neural Network And Lanczos Inverse Approach For Impedance Inversion"
"347","Fast Forward Modeling Simulation of Resistivity Well Logs Using Neural Networks"
"348","North Sea Reservoir Characterization Using Rock Physics, Seismic Attributes, And Neural Networks; a Case History"
"349","The Effect of Random Noise In Lateral Reservoir Characterization Using Feed-forward Neural Networks"
"350","An Assessment Of Neural Networks Applied To Pulsed Neutron Data For Predicting Open Hole Triple Combo Data"
"351","Neural Network Based Layer Picking For Unfocused Resistivity Log Parameterization"
"352","Estimating Reservoir’s Lithological Parameters From Seismic Data Using Neural Network"
"353","A Neural Network Optimization Approach For Automatic NM0 Correction And Velocity Estimation"
"354","Reservoir Porosity Prediction From 3-D Seismic Data Using Neural Networks"
"355","Forecasting Gas Compressibility Factor Using Artificial Neural Network Tool for Niger-Delta Gas Reservoir"
"356","The Use of Skewness, Kurtosis and Neural Networks for Determining Corrosion Mechanism From Electrochemical Noise Data"
"357","Finite Element and Neural Network Modeling of Extreme Overbalance Perforating"
"358","Neural Network For Robust Pattern Recognition In Real Seismic Data"
"359","Comparison of Linear And Nonlinear Neural Networks For Seismic Trace Editing"
"360","Predicting Carbonate Permeabilities From Wireline Logs Using a Back-Propagation Neural Network"
"361","Toward More Robust Neural-Network First Break And Horizon Pickers"
"362","Comparison of Accuracy And Sensitivity of Neural Network Parameter-Estimation Paradigms For EM Subsurface Images"
"363","Predicting Risks Associated with Offshore Production Facilities: Neural Network, Statistical, and Expert Opinion Models."
"364","Aeromagnetic Structural Interpretation Using Neural Networks: A Case Study From the Northern Denver-Julesberg Basin"
"365","Inversion of Coincident Loop TEM Data For Layered Polarizable Ground Using Neural Networks"
"366","Neural Network Modeling of Scour Depth Downstream of Spillways"
"367","Sand Thickness Prediction From Band-limited Seismic Attributes Using Neural Networks: Oriente Basin, Ecuador"
"368","Detection of Layer Boundaries From Array Induction Tool Responses Using Neural Networks"
"369","Detection of Conductive Thick Plate Based On Finite-element Method And Neural Networks"
"370","Fault And Fracture Classification Using Artifical Neural Networks - Case Study From the Ekofisk Field"
"371","Anomaly Detection Using Dynamic Neural Networks, Classi?cation of Prestack Data"
"372","Use of Neural Networks For Non-linear Non-unique Inversion In Geophysics"
"373","Analyze of Hydrate Formation with the use of Neural Network Technology"
"374","Synergistic Porosity Mapping In the Upper Cretaceous of the Chiapas Region Using Spectral Decomposition And Neural Network Inversion"
